               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.023687,            0.019563,           0.0024557,             0.98606,             0.98135,             0.99182,             0.79597,            0.014527,             0.01721,           0.0014932,           0.0094879,           0.0094879,           0.0094879
                  48,            0.022642,            0.019625,            0.002075,             0.98126,             0.98073,             0.99158,             0.79981,            0.014163,            0.016989,           0.0013534,           0.0094659,           0.0094659,           0.0094659
                  49,            0.022209,            0.018851,           0.0021189,             0.98147,             0.98396,             0.98943,             0.79604,             0.01397,            0.017126,           0.0014038,           0.0094434,           0.0094434,           0.0094434
                  50,            0.023364,            0.019151,           0.0020518,             0.98551,              0.9783,             0.99138,             0.79755,            0.014434,             0.01722,           0.0014375,           0.0094205,           0.0094205,           0.0094205
                  51,            0.022844,            0.018776,           0.0021242,             0.98392,             0.97752,             0.99111,             0.79291,            0.014571,            0.017091,           0.0013881,           0.0093971,           0.0093971,           0.0093971
                  52,            0.022243,            0.019791,           0.0020496,             0.97885,             0.98199,             0.99125,             0.81273,            0.013725,            0.016817,           0.0013031,           0.0093733,           0.0093733,           0.0093733
                  53,            0.021725,            0.018439,           0.0020293,             0.98799,             0.97992,             0.99234,             0.81207,            0.013567,            0.017195,            0.001256,           0.0093491,           0.0093491,           0.0093491
                  54,            0.022285,            0.019005,           0.0022276,             0.98694,             0.97651,             0.99195,             0.80632,            0.014047,            0.017068,           0.0013167,           0.0093245,           0.0093245,           0.0093245
                  55,            0.023145,            0.019051,           0.0021415,             0.98837,             0.98147,             0.99288,             0.81044,            0.013935,            0.016937,            0.001204,           0.0092995,           0.0092995,           0.0092995
                  56,            0.022158,            0.019466,           0.0019808,             0.97802,             0.98563,             0.99213,             0.81512,            0.013829,            0.017148,           0.0012932,            0.009274,            0.009274,            0.009274
                  57,            0.022166,            0.019081,           0.0020512,             0.98045,             0.98587,             0.99234,             0.81093,            0.013412,            0.016126,           0.0013106,           0.0092481,           0.0092481,           0.0092481
                  58,              0.0218,            0.018609,           0.0021481,              0.9818,             0.98351,             0.99269,              0.8232,            0.013106,            0.016464,           0.0012244,           0.0092219,           0.0092219,           0.0092219
                  59,             0.02188,            0.018777,           0.0020582,             0.98225,             0.98008,             0.99186,             0.82203,            0.014235,             0.01681,           0.0013125,           0.0091952,           0.0091952,           0.0091952
                  60,            0.021161,            0.018406,           0.0020713,             0.98868,             0.97879,             0.99336,             0.82562,            0.013644,            0.016347,           0.0011228,           0.0091681,           0.0091681,           0.0091681
                  61,            0.020873,             0.01757,           0.0018964,             0.97994,             0.98573,             0.99267,             0.82495,            0.012988,             0.01648,           0.0013373,           0.0091406,           0.0091406,           0.0091406
